Trial,Ground_Truth,Predicted_Class,Confidence,Is_Correct,Processing_Time_ms,Honest_Agents,Byzantine_Agents,Faulty_Agents
1,0,0,0.7024,True,2.03,34,16,0
2,1,1,0.7817,True,1.73,34,16,0
3,0,0,0.7421,True,1.80,34,16,0
4,3,3,0.7817,True,154.32,34,16,0
5,1,1,0.8214,True,1.65,34,16,0
6,4,4,0.8214,True,1.67,34,16,0
7,2,2,0.8016,True,1.77,34,16,0
8,1,1,0.8214,True,1.68,34,16,0
9,5,5,0.7619,True,1.56,34,16,0
10,2,2,0.7619,True,1.59,34,16,0
11,0,0,0.7024,True,1.69,34,16,0
12,2,2,0.8016,True,1.68,34,16,0
13,0,0,0.7817,True,1.58,34,16,0
14,3,3,0.7222,True,1.61,34,16,0
15,0,0,0.8016,True,1.53,34,16,0
16,3,3,0.8413,True,1.62,34,16,0
17,4,4,0.8016,True,1.57,34,16,0
18,2,2,0.7817,True,1.71,34,16,0
19,1,1,0.8413,True,1.60,34,16,0
20,4,4,0.8016,True,1.66,34,16,0
21,0,0,0.7421,True,1.60,34,16,0
22,4,4,0.8016,True,1.65,34,16,0
23,1,1,0.7421,True,1.81,34,16,0
24,4,4,0.8016,True,2.68,34,16,0
25,3,3,0.7817,True,2.77,34,16,0
26,3,3,0.7619,True,1.95,34,16,0
27,0,0,0.7619,True,1.76,34,16,0
28,4,4,0.8016,True,1.73,34,16,0
29,0,0,0.7024,True,1.71,34,16,0
30,3,3,0.8611,True,1.68,34,16,0
31,0,0,0.7421,True,1.59,34,16,0
32,2,2,0.8413,True,1.71,34,16,0
33,3,3,0.7817,True,1.63,34,16,0
34,0,0,0.7421,True,1.58,34,16,0
35,1,1,0.8016,True,1.59,34,16,0
36,2,2,0.8016,True,1.69,34,16,0
37,0,0,0.7222,True,1.61,34,16,0
38,0,0,0.7817,True,1.55,34,16,0
39,2,2,0.8016,True,1.57,34,16,0
40,0,0,0.7421,True,1.73,34,16,0
41,0,0,0.8016,True,1.65,34,16,0
42,0,0,0.7222,True,1.60,34,16,0
43,2,2,0.8413,True,1.56,34,16,0
44,4,4,0.7619,True,1.64,34,16,0
45,4,4,0.8413,True,1.54,34,16,0
46,0,0,0.7421,True,1.66,34,16,0
47,4,4,0.8413,True,1.60,34,16,0
48,0,0,0.7421,True,1.65,34,16,0
49,5,5,0.7421,True,1.57,34,16,0
50,0,0,0.8016,True,1.52,34,16,0
51,1,1,0.7817,True,1.54,34,16,0
52,2,2,0.7817,True,1.66,34,16,0
53,2,2,0.8214,True,1.57,34,16,0
54,3,3,0.8016,True,1.53,34,16,0
55,2,2,0.8016,True,1.66,34,16,0
56,2,2,0.7421,True,1.68,34,16,0
57,2,2,0.8016,True,1.76,34,16,0
58,4,4,0.8016,True,1.56,34,16,0
59,3,3,0.8016,True,1.55,34,16,0
60,4,4,0.8413,True,1.62,34,16,0
61,5,5,0.7619,True,1.55,34,16,0
62,0,0,0.7024,True,1.61,34,16,0
63,1,1,0.8016,True,1.59,34,16,0
64,0,0,0.7619,True,1.63,34,16,0
65,0,0,0.7421,True,1.83,34,16,0
66,3,3,0.8214,True,2.86,34,16,0
67,1,1,0.7817,True,1.60,34,16,0
68,0,0,0.7222,True,1.79,34,16,0
69,4,4,0.8016,True,1.78,34,16,0
70,1,1,0.8214,True,1.63,34,16,0
71,0,0,0.7024,True,1.89,34,16,0
72,1,1,0.8016,True,1.76,34,16,0
73,1,1,0.8214,True,1.72,34,16,0
74,2,2,0.7817,True,1.60,34,16,0
75,0,0,0.7222,True,1.58,34,16,0
76,0,0,0.7421,True,1.66,34,16,0
77,0,0,0.7619,True,1.74,34,16,0
78,1,1,0.8214,True,2.01,34,16,0
79,0,0,0.7222,True,1.68,34,16,0
80,3,3,0.7817,True,1.84,34,16,0
81,5,5,0.7817,True,1.58,34,16,0
82,5,5,0.7619,True,1.64,34,16,0
83,1,1,0.7817,True,1.71,34,16,0
84,1,1,0.8810,True,1.87,34,16,0
85,1,1,0.8413,True,1.73,34,16,0
86,3,3,0.8413,True,1.57,34,16,0
87,1,1,0.7619,True,1.58,34,16,0
88,3,3,0.8016,True,1.64,34,16,0
89,5,5,0.7817,True,1.54,34,16,0
90,3,3,0.8214,True,1.59,34,16,0
91,4,4,0.7817,True,1.58,34,16,0
92,1,1,0.7619,True,1.71,34,16,0
93,1,1,0.7817,True,1.58,34,16,0
94,5,5,0.7421,True,1.58,34,16,0
95,1,1,0.7619,True,1.68,34,16,0
96,3,3,0.8413,True,1.59,34,16,0
97,2,2,0.8413,True,1.58,34,16,0
98,4,4,0.8214,True,1.69,34,16,0
99,1,1,0.7817,True,1.66,34,16,0
100,1,1,0.8214,True,1.65,34,16,0
